chengshi,yijiquyu,fangzu,huxing,chaoxiang,zhuangxiu,louceng,min_time_gongjiao,min_time_zhongxue,count_zhongxue,min_time_xiaoxue,count_xiaoxue,min_time_gaoxiao,count_gaoxiao,min_time_yiyuan,count_yiyuan,min_time_jingdian,count_jingdian,min_time_kaifang,count_kaifang,min_time_xiuxian,count_xiuxian
宜昌,伍家岗,2000,3室2厅2卫,东南,精装修,中层/共11层,760,1393,0,1772,0,10000,0,748,1,909,0,1004,0,2333,0
宜昌,伍家岗,2100,3室2厅1卫,南,精装修,低层/共30层,653,1863,0,416,1,10000,0,1103,0,714,2,807,2,10000,0
宜昌,伍家岗,2100,3室2厅1卫,南,精装修,高层/共33层,653,1863,0,416,1,10000,0,1103,0,714,2,807,2,10000,0
宜昌,伍家岗,8500,6室3厅4卫,南北,精装修,共3层,327,583,1,1274,0,10000,0,1602,0,414,3,477,2,760,1
宜昌,伍家岗,1600,2室2厅1卫,南,简单装修,中层/共31层,448,1509,0,1812,0,10000,0,1238,0,829,1,2131,0,10000,0
宜昌,伍家岗,2200,6室2厅2卫,南北,精装修,共5层,760,1393,0,1772,0,10000,0,748,1,909,0,1004,0,2333,0
宜昌,伍家岗,1600,2室2厅1卫,南,精装修,高层/共7层,213,451,1,640,1,10000,0,955,0,226,2,347,4,1284,0
宜昌,伍家岗,1600,3室2厅1卫,南北,简单装修,低层/共6层,760,1393,0,1772,0,10000,0,748,1,909,0,1004,0,2333,0
宜昌,伍家岗,1000,2室1厅1卫,东南,简单装修,中层/共7层,319,1508,0,10000,0,10000,0,10000,0,833,1,10000,0,10000,0
宜昌,伍家岗,1600,2室1厅1卫,南,精装修,中层/共7层,213,451,1,640,1,10000,0,955,0,226,2,347,4,1284,0
宜昌,伍家岗,1400,2室2厅1卫,南北,简单装修,高层/共7层,207,664,1,849,1,10000,0,498,1,274,3,274,3,10000,0
宜昌,伍家岗,1400,2室2厅1卫,南北,简单装修,中层/共7层,111,765,1,1354,0,10000,0,1688,0,237,3,211,3,293,1
宜昌,伍家岗,1100,1室1厅1卫,南,简单装修,高层/共12层,418,673,1,10000,0,10000,0,10000,0,754,1,1036,0,1167,0
宜昌,伍家岗,1600,2室1厅1卫,南,简单装修,高层/共11层,760,1393,0,1772,0,10000,0,748,1,909,0,1004,0,2333,0
宜昌,伍家岗,1500,3室2厅2卫,南,精装修,高层/共11层,760,1393,0,1772,0,10000,0,748,1,909,0,1004,0,2333,0
宜昌,伍家岗,1600,2室2厅1卫,南北,精装修,中层/共6层,478,1131,0,1317,0,10000,0,315,1,476,2,742,1,2083,0
宜昌,伍家岗,2000,3室2厅1卫,南,精装修,高层/共30层,653,1863,0,416,1,10000,0,1103,0,714,2,807,2,10000,0
宜昌,伍家岗,2000,3室2厅1卫,南北,精装修,中层/共33层,653,1863,0,416,1,10000,0,1103,0,714,2,807,2,10000,0
宜昌,伍家岗,2500,3室2厅2卫,南北,精装修,中层/共6层,213,451,1,640,1,10000,0,955,0,226,2,347,4,1284,0
宜昌,伍家岗,2500,3室2厅2卫,东,精装修,中层/共7层,178,1773,0,1614,0,10000,0,546,1,798,1,1223,0,10000,0
宜昌,伍家岗,1000,2室2厅1卫,南,精装修,中层/共8层,207,664,1,849,1,10000,0,498,1,274,3,274,3,10000,0
宜昌,伍家岗,600,2室2厅1卫,南,毛坯,中层/共32层,653,1863,0,416,1,10000,0,1103,0,714,2,807,2,10000,0
宜昌,伍家岗,8500,6室1厅1卫,南,精装修,共3层,327,583,1,1274,0,10000,0,1602,0,414,3,477,2,760,1
宜昌,伍家岗,1200,2室2厅1卫,南北,精装修,低层/共7层,213,451,1,640,1,10000,0,955,0,226,2,347,4,1284,0
宜昌,伍家岗,1500,2室2厅1卫,南,豪华装修,中层/共8层,166,782,5,605,2,573,3,368,4,624,7,288,6,734,1
宜昌,伍家岗,1600,3室2厅2卫,南北,简单装修,低层/共6层,478,1131,0,1317,0,10000,0,315,1,476,2,742,1,2083,0
宜昌,伍家岗,1700,3室2厅1卫,南,简单装修,共5层,653,1863,0,416,1,10000,0,1103,0,714,2,807,2,10000,0
宜昌,伍家岗,2000,4室2厅2卫,南北,精装修,低层/共6层,760,1393,0,1772,0,10000,0,748,1,909,0,1004,0,2333,0
宜昌,伍家岗,1600,2室2厅1卫,南,精装修,高层/共6层,207,664,1,849,1,10000,0,498,1,274,3,274,3,10000,0
宜昌,伍家岗,2500,3室2厅1卫,南,豪华装修,中层/共28层,318,1374,0,1424,0,10000,0,215,1,560,1,985,0,10000,0
宜昌,伍家岗,2300,3室2厅1卫,南北,精装修,中层/共7层,213,451,1,640,1,10000,0,955,0,226,2,347,4,1284,0
宜昌,伍家岗,2000,4室2厅2卫,南,精装修,高层/共6层,760,1393,0,1772,0,10000,0,748,1,909,0,1004,0,2333,0
宜昌,伍家岗,2400,3室2厅1卫,南,精装修,低层/共30层,653,1863,0,416,1,10000,0,1103,0,714,2,807,2,10000,0
宜昌,伍家岗,1500,2室1厅1卫,南,精装修,低层/共7层,478,1131,0,1317,0,10000,0,315,1,476,2,742,1,2083,0
宜昌,伍家岗,1600,2室1厅1卫,东南,精装修,低层/共18层,760,1393,0,1772,0,10000,0,748,1,909,0,1004,0,2333,0
宜昌,伍家岗,1600,3室2厅1卫,南,简单装修,低层/共27层,318,1374,0,1424,0,10000,0,215,1,560,1,985,0,10000,0
宜昌,伍家岗,2000,3室2厅2卫,南北,精装修,高层/共32层,653,1863,0,416,1,10000,0,1103,0,714,2,807,2,10000,0
